dstPort,Unique Ports,Auth Failures,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,bwd meanDelta,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN,Forward FIN flag count,Forward SYN flag count,Forward RST flag count,Forward ACK flag count,Forward 0x0014 flag count,Forward ACK-PSH flag count,Forward 0x003F flag count,Forward ACK-FIN-PSH flag count,Forward URG flag count,Forward FIN-ACK flag count,Backward FIN flag count,Backward RST flag count,Backward ACK flag count,Backward 0x0014 flag count,Backward ACK-PSH flag count,Backward 0x003F flag count,Backward SYN-ACK flag count,Backward ACK-FIN-PSH flag count,Backward URG flag count,Backward FIN-ACK flag count,Label
443,1,0,0x0010,0x0018,0.240611145,0.000924052,43008,64640,1.76642205152529,2.28745428081711,0,513,0,2962,0.132705369,0.0121511886048326,6.27180664058667E-07,0.107126666013793,0.0007919473871783,23393.25,1300495.9,263.000616560431,1591.68693706857,0.0006344543333333,TCP,738,3771,9,6,15,1340,4175,5.09504508972168,2.62300324440002,148.888888888889,160.170221951523,25654.5,695.833333333333,1139.51540870085,1298495.36666667,9.34600830078125E-05,0,0,2,0,5,0,3,0,0,0,0,0,0,1,0,4,0,1,0,0,0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0,0.000103423,65535,0,0,9686.6143187067,0,60,0,54,0,0,0,0,0,0,0,0,523077.173210162,0,TCP,0,0,1,1,2,60,54,0,0.0001032352447509,0,0,0,54,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0,0.000103423,65535,0,0,9686.6143187067,0,60,0,54,0,0,0,0,0,0,0,0,523077.173210162,0,TCP,0,0,1,1,2,60,54,0,0.0001032352447509,0,0,0,54,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0,0.000079317,65535,0,0,12595.5075075075,0,60,0,54,0,0,0,0,0,0,0,0,680157.405405405,0,TCP,0,0,1,1,2,60,54,0,7.93933868408203E-05,0,0,0,54,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0,0.000079317,65535,0,0,12595.5075075075,0,60,0,54,0,0,0,0,0,0,0,0,680157.405405405,0,TCP,0,0,1,1,2,60,54,0,7.93933868408203E-05,0,0,0,54,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0,0.000199151,65535,0,0,5023.11856287425,0,60,0,54,0,0,0,0,0,0,0,0,271248.40239521,0,TCP,0,0,1,1,2,60,54,0,0.0001990795135498,0,0,0,54,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0,0.000086501,65535,0,0,11586.4751381215,0,60,0,54,0,0,0,0,0,0,0,0,625669.657458564,0,TCP,0,0,1,1,2,60,54,0,8.63075256347656E-05,0,0,0,54,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AbuseIPDB - Brute-Force
53579,1,0,0x0014,0x0018,0.015751771,0.011509228,0,64256,53.2027335140877,68.3040945830778,0,98,0,73,0.0078797805,7.09565058772689E-05,4.2721679666071E-05,0.0078795268032166,0.006536182346452,484,120.333333333333,3777.39407950023,4394.23008484467,0.003962287,TCP,44,19,4,3,7,284,193,0.0751841068267822,0.0439212322235107,71,21.9393102292058,481.333333333333,64.3333333333333,9.60902353693305,92.3333333333333,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,AbuseIPDB - Brute-Force
53579,1,0,0x0014,0x0018,0.017443316,0.018273645,0,64256,45.0542620670394,55.1004847545355,0,98,0,73,0.0086240407499999,8.50143847118373E-05,0.0001068777464109,0.008624823860396,0.0103381693936094,484,120.333333333333,3198.8526067598,3544.79785254179,0.006338647,TCP,44,19,4,3,7,284,193,0.0887818336486816,0.0544459819793701,71,21.9393102292058,481.333333333333,64.3333333333333,9.60902353693305,92.3333333333333,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0,0.000081702,65535,0,0,12228.2915451895,0,60,0,54,0,0,0,0,0,0,0,0,660327.743440233,0,TCP,0,0,1,1,2,60,54,0,8.17775726318359E-05,0,0,0,54,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AbuseIPDB - Brute-Force
