dstPort,Unique Ports,Auth Failures,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,bwd meanDelta,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN,Forward FIN flag count,Forward SYN flag count,Forward RST flag count,Forward ACK flag count,Forward 0x0014 flag count,Forward ACK-PSH flag count,Forward 0x003F flag count,Forward ACK-FIN-PSH flag count,Forward URG flag count,Forward FIN-ACK flag count,Backward FIN flag count,Backward RST flag count,Backward ACK flag count,Backward 0x0014 flag count,Backward ACK-PSH flag count,Backward 0x003F flag count,Backward SYN-ACK flag count,Backward ACK-FIN-PSH flag count,Backward URG flag count,Backward FIN-ACK flag count,Label
443,2,0,0x0010,0x0011,0.142512755,0.000222535,40832,64512,2.94891707345508,4.04641839094654,0,362,0,2962,0.0648120348181818,0.0051831415892172,6.3909900562481e-07,0.0703387819360903,0.0007994366801847,15256.6727272727,1130898.33333333,419.28239117125,2311.08296100061,0.0006977678571428,TCP,830,3528,11,7,18,1564,3998,3.73018288612366,1.72992491722107,142.181818181818,127.499019604074,16256.0,571.142857142857,1062.80923791171,1129563.47619048,4.38690185546875e-05,0,0,2,0,5,0,4,0,0,0,1,0,0,1,0,4,0,1,0,0,1,AbuseIPDB - Web App Attack
443,1,0,0x0010,0x0011,0.143011668,0.000221573,40832,64384,2.87527374007275,3.95208627786707,0,362,0,2962,0.0668305984545455,0.0055538959003547,6.27025476967476e-07,0.0728110299796829,0.0007918494029596,17126.6909090909,1146860.47619048,421.619685703396,2580.71233944719,0.0005842398571428,TCP,879,4101,11,7,18,1613,4571,3.82572269439697,1.77121639251709,146.636363636364,135.089641020735,18249.2111111111,653.0,1070.19032575208,1145307.33333333,6.50882720947266e-05,0,0,2,0,5,0,4,0,0,0,1,0,0,1,0,4,0,1,0,0,1,AbuseIPDB - Web App Attack
80,1,0,0x0004,0x0011,4e-08,9.2332e-05,0.0,64640.0,2.9551826264201937,5.250899107480706,0.0,598,0.0,447.0,0.0845443519999999,0.0155786652431538,8.917079292666665e-09,0.1195008081125718,9.443028800478512e-05,47170.66666666666,36290.25,458.0533070951301,857.2092792962252,0.0001137769999999,TCP,532.0,381.0,6.0,4.0,10.0,930.0,653.0,2.0303313732147217,0.7617743015289307,155.0,238.60259847704927,56931.2,163.25,189.2042547090313,35798.25,8.893013000488281e-05,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,AbuseIPDB - Web App Attack
443,2,0,0x0010,0x0010,0.256486597,6.8147e-05,35072.0,65024.0,2.132702443572397,1.9033070020269764,0.0,305,0.0,2962.0,0.1536828322,0.0174950764289155,0.0495361183623251,0.1254813483591245,0.222567109794608,11424.2,1344044.8,251.23234785282835,1658.4148344328387,0.0914695323333333,TCP,239.0,4824.0,5.0,6.0,11.0,589.0,5228.0,2.344443321228028,3.1524078845977783,117.8,117.63609140055615,13838.25,871.3333333333334,1158.2239276869852,1341482.6666666667,0.0001294612884521,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,AbuseIPDB - Web App Attack
80,1,0,0x0004,0x0011,4e-08,9.2332e-05,0.0,64640.0,2.9551826264201937,5.250899107480706,0.0,598,0.0,447.0,0.0845443519999999,0.0155786652431538,8.917079292666665e-09,0.1195008081125718,9.443028800478512e-05,47170.66666666666,36290.25,458.0533070951301,857.2092792962252,0.0001137769999999,TCP,532.0,381.0,6.0,4.0,10.0,930.0,653.0,2.0303313732147217,0.7617743015289307,155.0,238.60259847704927,56931.2,163.25,189.2042547090313,35798.25,8.893013000488281e-05,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,AbuseIPDB - Web App Attack
443,2,0,0x0010,0x0010,0.256486597,6.8147e-05,35072.0,65024.0,2.132702443572397,1.9033070020269764,0.0,305,0.0,2962.0,0.1536828322,0.0174950764289155,0.0495361183623251,0.1254813483591245,0.222567109794608,11424.2,1344044.8,251.23234785282835,1658.4148344328387,0.0914695323333333,TCP,239.0,4824.0,5.0,6.0,11.0,589.0,5228.0,2.344443321228028,3.1524078845977783,117.8,117.63609140055615,13838.25,871.3333333333334,1158.2239276869852,1341482.6666666667,0.0001294612884521,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,AbuseIPDB - Web App Attack
80,2,0,0x0010,0x0011,0.141194839,0.000155921,30336,65024,4.58605556736024,6.84112221176991,0,281,0,457,0.0733295166666667,0.005076860957738,6.32142074995833e-08,0.0682186866720538,0.000251424357411,7704.16666666667,38220.25,473.128066032664,1133.91600660086,0.00023686425,TCP,215,391,6,4,10,619,663,1.30831384658813,0.584699392318726,103.166666666667,96.150923032491,9245.0,165.75,194.203286961541,37714.9166666667,0.0001590251922607,0,0,2,0,3,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,AbuseIPDB - Web App Attack
443,2,0,0x0010,0x0011,0.141443281,0.000224459,40832,64512,2.78825579966721,3.79510895831823,0,362,0,2962,0.0680816675454546,0.0055072915762702,9.09610617369209e-05,0.0725048973586285,0.0095373508762612,15256.6727272727,1130898.33333333,396.439279152684,2167.54937362232,0.0043189932857142,TCP,830,3528,11,7,18,1564,3998,3.94511866569519,1.84447932243347,142.181818181818,127.499019604074,16256.0,571.142857142857,1062.80923791171,1129563.47619048,5.24520874023438e-05,0,0,2,0,5,0,4,0,0,0,1,0,0,1,0,4,0,1,0,0,1,AbuseIPDB - Web App Attack
80,2,0,0x0010,0x0011,0.141194839,0.000155921,30336,65024,4.58605556736024,6.84112221176991,0,281,0,457,0.0733295166666667,0.005076860957738,6.32142074995833e-08,0.0682186866720538,0.000251424357411,7704.16666666667,38220.25,473.128066032664,1133.91600660086,0.00023686425,TCP,215,391,6,4,10,619,663,1.30831384658813,0.584699392318726,103.166666666667,96.150923032491,9245.0,165.75,194.203286961541,37714.9166666667,0.0001590251922607,0,0,2,0,3,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,AbuseIPDB - Web App Attack
443,2,0,0x0010,0x0011,0.141443281,0.000224459,40832,64512,2.78825579966721,3.79510895831823,0,362,0,2962,0.0680816675454546,0.0055072915762702,9.09610617369209e-05,0.0725048973586285,0.0095373508762612,15256.6727272727,1130898.33333333,396.439279152684,2167.54937362232,0.0043189932857142,TCP,830,3528,11,7,18,1564,3998,3.94511866569519,1.84447932243347,142.181818181818,127.499019604074,16256.0,571.142857142857,1062.80923791171,1129563.47619048,5.24520874023438e-05,0,0,2,0,5,0,4,0,0,0,1,0,0,1,0,4,0,1,0,0,1,AbuseIPDB - Web App Attack
