forward,srcIP,dstPort,Unique Ports,Auth Failures,Origin,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,bwd meanDelta,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN,Forward FIN flag count,Forward SYN flag count,Forward RST flag count,Forward ACK flag count,Forward 0x0014 flag count,Forward ACK-PSH flag count,Forward 0x003F flag count,Forward ACK-FIN-PSH flag count,Forward URG flag count,Forward FIN-ACK flag count,Backward FIN flag count,Backward RST flag count,Backward ACK flag count,Backward 0x0014 flag count,Backward ACK-PSH flag count,Backward 0x003F flag count,Backward SYN-ACK flag count,Backward ACK-FIN-PSH flag count,Backward URG flag count,Backward FIN-ACK flag count,Label
185.182.193.115 2467 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0019,0.161707156,0.000108703,64256,64512,4.048057040786478,4.749480917039722,0.0,583,0.0,2962,0.04740002330769231,0.004140169566205466,4.408083358865714e-07,0.06309462952738183,0.0006639339845847412,27641.4358974359,1004946.125,567.0393747132445,2836.0337925873437,0.0005592545,TCP,955.0,4241.0,13.0,8.0,21.0,1821.0,4777.0,3.2114171981811523,1.6843945980072021,140.07692307692307,172.11278455146964,29622.810606060608,597.125,1001.8694579206842,1003742.4107142857,0.00015783309936523438,0.0,0.0,2.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,Anomaly
185.182.193.115 25513 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0011,0.026228187,0.00011793,64256,64384,4.411208196897039,4.353664570455954,0.0,583,0.0,2962,0.033060322153846154,0.003106326718814152,6.515821342476112e-07,0.054652105304776474,0.0008072063764909264,29554.589743589742,910553.6944444445,630.8027721562767,2342.7552794131316,0.0005236371111111112,TCP,993.0,4241.0,13.0,9.0,22.0,1859.0,4843.0,2.947038412094116,2.0672240257263184,143.0,177.9515383468207,31666.75,538.1111111111111,953.7391473097406,909618.3611111111,3.695487976074219e-05,0.0,0.0,2.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,Normal
185.182.193.115 55439 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0011,0.164714711,0.000127249,64256,64384,3.178750621117693,3.4391612502238944,0.0,583,0.0,2962,0.0465234215,0.0047429547960203666,5.180190112315779e-06,0.06762812693920596,0.0022760031002430066,27949.75824175824,910553.6944444445,438.2134784826534,1850.650881648258,0.0012147415555555556,TCP,998.0,4241.0,14.0,9.0,23.0,1930.0,4843.0,4.404246091842651,2.616917133331299,137.85714285714286,172.69296156577713,29822.858974358973,538.1111111111111,953.7391473097406,909618.3611111111,0.00011038780212402344,0.0,0.0,2.0,0.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,Normal
185.182.193.115 62119 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0019,0.27222087,0.000402913,64256,64512,3.511380679170865,3.7996113018466615,0.0,583,0.0,2962,0.06574271518181818,0.009467226209113437,9.107728866356429e-07,0.09506259908640635,0.0009543442181077239,33015.25454545455,1004946.125,545.5408709730007,2268.842898615188,0.00059446175,TCP,975.0,4241.0,11.0,8.0,19.0,1709.0,4777.0,3.1326708793640137,2.105478525161743,155.36363636363637,189.00631970621745,35723.38888888889,597.125,1001.8694579206842,1003742.4107142857,7.104873657226562e-05,0.0,0.0,2.0,0.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,Anomaly
185.182.193.115 8308 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0011,0.007423281,8.8516e-05,64256,64384,9.331900498726881,11.400928353563234,0.0,583,0.0,2962,0.018508718214285715,0.0008634871710068212,7.13983603006111e-07,0.028855646647941602,0.0008449755043822933,27108.071428571428,910553.6944444445,1275.1375467188946,6134.966224034082,0.0006435088888888889,TCP,981.0,4241.0,14.0,9.0,23.0,1913.0,4843.0,1.500230312347412,0.7894093990325928,136.64285714285714,170.0777348668423,28926.4358974359,538.1111111111111,953.7391473097406,909618.3611111111,0.0001461505889892578,0.0,0.0,2.0,0.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,Normal
185.182.193.115 17292 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0019,0.096433674,0.000238677,64256,64512,5.090136267640246,5.9147837193769695,0.0,583,0.0,2962,0.03348860323076923,0.0015680993838942563,5.867029388685714e-07,0.0388302442579118,0.0007659653640136552,26460.4358974359,1004946.125,702.8303538780186,3531.865228432973,0.000656758,TCP,929.0,4241.0,13.0,8.0,21.0,1795.0,4777.0,2.5539591312408447,1.3525431156158447,138.07692307692307,168.4131598903198,28362.992424242424,597.125,1001.8694579206842,1003742.4107142857,0.00024390220642089844,0.0,0.0,2.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,Anomaly
185.182.193.115 12572 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0011,0.07150144,0.000177272,64256,64512,3.5363403457395988,3.8029871827484683,0.0,583,0.0,2962,0.038749059,0.0031834939525640002,4.047591728405277e-07,0.055405755476957703,0.0006362068632453816,24748.98901098901,910553.6944444445,469.82807450540383,2046.4296584500923,0.00040789055555555555,TCP,928.0,4241.0,14.0,9.0,23.0,1860.0,4843.0,3.958894968032837,2.366560697555542,132.85714285714286,162.53334963505102,26417.089743589742,538.1111111111111,953.7391473097406,909618.3611111111,7.748603820800781e-05,0.0,0.0,2.0,0.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,Normal
185.182.193.115 29463 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0019,0.005338182,0.000108222,64256,64384,5.516971638657163,6.0359772278538575,0.0,583,0.0,2962,0.02361363423076923,0.001219958555120939,1.066218256542839e-06,0.0342496287896916,0.0010325784505512592,32107.47435897436,1004946.125,808.0241538464029,3604.2329021822347,0.000701911375,TCP,1038.0,4241.0,13.0,8.0,21.0,1904.0,4777.0,2.356365203857422,1.3253860473632812,146.46153846153845,185.4682035968822,34398.454545454544,597.125,1001.8694579206842,1003742.4107142857,0.00014472007751464844,0.0,0.0,2.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,Anomaly
185.182.193.115 12015 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0011,0.13480561,2.5719e-05,64256,64384,2.2131828536365843,2.3365835318515784,0.0,583,0.0,2962,0.06590167828571429,0.012823639927283526,1.7874576816149997e-07,0.11120095677206827,0.000422783358425447,27697.917582417584,910553.6944444445,304.31264237503035,1257.341560528577,0.00029738266666666665,TCP,993.0,4241.0,14.0,9.0,23.0,1925.0,4843.0,6.32573127746582,3.8517775535583496,137.5,171.9144838097993,29554.589743589742,538.1111111111111,953.7391473097406,909618.3611111111,0.00012040138244628906,0.0,0.0,2.0,0.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,Normal
185.182.193.115 43048 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0011,0.344535638,5.0895e-05,64256,64512,6.366659719217986,8.241777978061508,0.0,583,0.0,2962,0.04461303961538461,0.008265676324403927,3.6984497200325003e-07,0.08915024226855606,0.0006081488074503229,26287.97435897436,910553.6944444445,877.1298120861087,4434.992305305765,0.0004562776666666667,TCP,925.0,4241.0,13.0,9.0,22.0,1791.0,4843.0,2.041887044906616,1.0919973850250244,137.76923076923077,167.8665369941974,28179.174242424244,538.1111111111111,953.7391473097406,909618.3611111111,8.392333984375e-05,0.0,0.0,2.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,Normal
