flowID,srcIP,dstPort,Unique Ports,Auth Failures,Origin,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,bwd meanDelta,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,Label
149.102.157.168 53579 78.17.168.102 14376 TCP,149.102.157.168,14376,1,0.0,Nowhere,0x0018,0x0010,2.181e-05,4e-08,2455,4123,0.25589787155400734,0.2655337262858284,0.0,4392,0.0,119,0.0020190496052980133,0.0003239405213412554,0.00031613301189522414,0.01799536763358736,0.0177801296928685,1813837.2678823308,418.14035692068643,583.185487332753,18.29595643944262,0.004423148242219215,TCP,3359716.0,14748.0,1510.0,1478.0,2988.0,3441256.0,101838.0,5900.791557312012,5566.147926568985,2278.9774834437085,1346.0622949035976,1811883.7017611396,68.90257104194858,18.072485703196488,326.6147394922414,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0
194.26.135.211 49926 149.102.157.168 8990 TCP,194.26.135.211,8990,1,0.0,Nowhere,0x0004,0x0014,0.073949122,9.5938e-05,1200,0,27.01062250657668,10433.592039800995,0.0,60,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620.6373503946008,563413.9701492537,0.0,TCP,0.0,0.0,2.0,1.0,3.0,120.0,54.0,0.07404494285583496,9.584426879882812e-05,60.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
162.216.149.15 51216 149.102.157.168 6969 TCP,162.216.149.15,6969,1,0.0,Nowhere,0x0002,0x0014,0.0,8.5388e-05,65535,0,0.0,11715.932960893855,0.0,60,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632660.3798882682,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,8.535385131835938e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
149.102.157.168 53579 78.17.168.102 14376 TCP,149.102.157.168,14376,1,0.0,Nowhere,0x0018,0x0010,0.000111458,5e-08,2455,4123,0.2901894156884857,0.281248959644535,0.0,2946,0.0,119,0.0010669037010376135,0.00011230908714528141,0.0008939677321485116,0.010595879880895097,0.02989929317138637,594320.5015427851,160.06615325247614,758.0577456929282,17.651353035845418,0.0035144380440565253,TCP,3944877.0,3741.0,1542.0,1203.0,2745.0,4028145.0,75501.0,5313.770649909973,4277.349155426025,2612.2859922178986,768.5042634519207,590598.8029437792,62.760598503740646,11.27145956120286,127.04580063983137,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0
149.102.157.168 53579 78.17.168.102 14376 TCP,149.102.157.168,14376,1,0.0,Nowhere,0x0010,0x0018,0.000163614,0.014323802,2455,4123,0.08762328682837915,0.09042145725161096,0.0,4392,0.0,120,0.007489271026367831,0.002045494300075445,0.0005973348591450303,0.04521968718897733,0.024440434921355846,2091225.4531657922,552.6758802547538,164.64421371142544,6.5765219554066325,0.007136149247734139,TCP,2768526.0,19137.0,1517.0,1324.0,2841.0,2850444.0,96297.0,17312.749326229095,14642.542160272598,1879.000659195781,1445.8598527337674,2090510.7137473114,72.73187311178248,20.890127845151152,436.39744138675945,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0
167.94.138.135 57115 149.102.157.168 5000 TCP,167.94.138.135,5000,1,0.0,Nowhere,0x0002,0x0014,0.0,8.2634e-05,1024,0,0.0,12122.265895953757,0.0,60,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654602.3583815029,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,8.249282836914062e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
185.161.248.87 64001 149.102.157.168 22 TCP,185.161.248.87,22,1,0.0,Nowhere,0x0002,0x0014,0.0,0.000107791,1024,0,0.0,9279.433628318584,0.0,60,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501089.41592920356,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,0.00010776519775390625,0.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80.94.95.249 61000 149.102.157.168 9514 TCP,80.94.95.249,9514,1,0.0,Nowhere,0x0002,0x0014,0.0,9.125e-05,1024,0,0.0,10951.185378590078,0.0,60,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591364.0104438643,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,9.131431579589844e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
165.22.108.223 54853 149.102.157.168 6732 TCP,165.22.108.223,6732,1,0.0,Nowhere,0x0004,0x0014,0.237400567,0.000187469,1200,0,8.417927641977005,5329.484116899619,0.0,60,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.07565851862034,287792.14231257944,0.0,TCP,0.0,0.0,2.0,1.0,3.0,120.0,54.0,0.23758816719055176,0.0001876354217529297,60.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
79.110.62.80 48077 149.102.157.168 41277 TCP,79.110.62.80,41277,1,0.0,Nowhere,0x0004,0x0014,0.029290201,5.7887e-05,1200,0,68.14743084609448,17260.510288065845,0.0,60,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4088.8458507656687,932067.5555555555,0.0,TCP,0.0,0.0,2.0,1.0,3.0,120.0,54.0,0.029348134994506836,5.793571472167969e-05,60.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
