dstPort,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,bwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,Label
68,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,UDP,4800,0,15,0,15,5430,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53579,0x0010,0x0018,0.00000004,0.000009176,4112,3085,0.205993038440449,0.184782798021657,0,127,0,2946,0.00469507652967626,0.00797757710234172,0.000190983832176186,0.00372956855819442,0.0138165827233411,0.0610701936970435,455.844872886569,1623614.07918955,14.3059571759357,372.666998217914,TCP,11893,2263090,1112,1153,2265,77227,2325352,5398.24068045616,6239.75831270218,69.4487410071942,18.9051675474051,357.405359995459,2016.78404163053,1274.2111595766,1623614.07918955,0,0,880,0,0,0,0,0,0,
443,0x0010,0x0010,10.223856766,0.016010816,501,10136,0.19531212237853,0.194700378925671,0,66,0,66,0,0.016086963,0,1.15967312180001E-08,0,0.000107688120134025,0,0,12.890600076983,12.8502250090943,TCP,0,0,2,2,4,132,132,10.2400197982788,10.2721936702728,66,0,0,66,0,0,0,0,2,0,0,0,0,0,0,
80,0x0010,0x0010,10.235349162,0.00465247,501,85,0.195312772666892,0.19513575863205,0,66,0,66,0,0.00464449,0,1.27360799999996E-10,0,1.12854242277371E-05,0,0,12.8906429960149,12.8789600697153,TCP,0,0,2,2,4,132,132,10.239985704422,10.2492747306824,66,0,0,66,0,0,0,0,2,0,0,0,0,0,0,
20558,0x0004,0x0014,0.044159812,0.000046305,1200,0,45.2425814663402,0,0,60,0,54,0,0,0,0,0,0,0,0,2714.55488798041,1167486.68041237,TCP,0,0,2,1,3,120,54,0.0442061424255371,4.62532043457031E-05,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
443,0x0010,0x0018,0.041795525,0.000000551,501,267,43.6313552930652,247.356706867573,0,105,0,105,0,0.002021537,0,8.168768824392E-06,0,0.00285810581056615,0,760.5,3730.48087755707,21148.9984371775,TCP,39,39,2,2,4,171,171,0.0458385944366455,0.00808548927307129,85.5,0,0,85.5,27.5771644662754,760.5,0,0,1,0,0,0,0,0,0,
443,0x0010,0x0018,0.040927989,0.00003768,501,382,43.8888522651766,216.323894992006,0,105,0,105,0,0.0023207545,0,1.04248583451005E-05,0,0.00322875492180817,0,760.5,3752.4968686726,18495.6930218165,TCP,39,39,2,2,4,171,171,0.0455696582794189,0.00924539566040039,85.5,0,0,85.5,27.5771644662754,760.5,0,0,1,0,0,0,0,0,0,
443,0x0010,0x0018,0.000047999,0.000000561,501,501,119.871506144613,60.1101222465856,0,112,0,112,0,0.008318186,0,0.00013836577128125,0,0.0117628980817335,0,1058,10668.5640468705,5349.80087994611,TCP,46,46,2,2,4,178,178,0.0166845321655273,0.0332722663879395,89,0,0,89,32.5269119345812,1058,0,0,1,0,0,0,0,0,0,
443,0x0010,0x0010,10.227881287,0.016140047,501,7964,0.195236486561183,0.194623852398762,0,66,0,66,0,0.01612279,0,5.95608098000098E-10,0,2.44050834458745E-05,0,0,12.8856081130381,12.8451742583183,TCP,0,0,2,2,4,132,132,10.2439868450165,10.2762327194214,66,0,0,66,0,0,0,0,2,0,0,0,0,0,0,
443,0x0010,0x0010,10.227477145,0.016503062,501,501,0.195236659230849,0.194609670364903,0,66,0,66,0,0.0165019005,0,2.69816449999656E-12,0,1.6426090526953E-06,0,0,12.885619509236,12.8442382440836,TCP,0,0,2,2,4,132,132,10.2439777851105,10.2769815921783,66,0,0,66,0,0,0,0,2,0,0,0,0,0,0,
