dstPort,Unique Ports,Auth Failures,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,bwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,Label
53579,1,0,0x0018,0x0010,1.1e-07,0.040714457,2067.0,501.0,2.944256364509864,3.9098368678579,0.0,119,0.0,2392.0,0.0248290458,0.0256038396666666,0.003938428198625,0.0036663691126455,0.0611678574800014,0.0605505500606356,1173.611111111111,582253.5,265.27749844233875,1463.5822675348072,TCP,325.0,2883.0,10.0,9.0,19.0,901.0,3369.0,3.3964433670043945,2.301886320114136,90.1,30.3607934312952,921.7777777777778,374.3333333333333,763.0553715163795,582253.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,NormalMaybe
443,2,0,0x0010,0x0011,0.021760706,4.283e-05,514.0,501.0,0.1128945042511766,0.1135770102420678,0.0,730,0.0,456.0,3.0762563491666666,0.0143299963333333,20.212083560216545,0.000256345324393,4.304386514188966,0.0160107877505451,121860.26666666666,53868.0,31.98677620450006,36.57179729794585,TCP,1352.0,804.0,6.0,3.0,9.0,1700.0,966.0,53.14696264266968,26.413796186447144,283.3333333333333,299.63310898497184,89780.0,322.0,232.09480821422957,53868.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,NormalMaybe
443,2,0,0x0010,0x0011,0.02150557,6.5121e-05,258.0,501.0,0.1129266474953577,0.1135723950737126,0.0,735,0.0,520.0,3.074567012333333,0.0165856456666666,20.22383709229076,0.0002519342878431,4.305637854557657,0.0158724379930473,122586.0,60009.333333333336,32.0711678886816,37.5546053043743,TCP,1356.0,830.0,6.0,3.0,9.0,1704.0,992.0,53.13183498382568,26.41486954689026,284.0,301.8691769624716,91125.0,330.6666666666667,244.9680251243687,60009.333333333336,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,NormalMaybe
40372,1,0,0x0011,0.0,0.0,0.0,64240.0,0.0,0.0,0.0,0.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,0.0,0.0,1.0,0.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NormalMaybe
47440,1,0,0x0004,0x0014,0.04158138,5.875e-05,1200.0,0.0,48.030689775609645,17050.016260162603,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2881.8413865365787,920700.8780487804,TCP,0.0,0.0,2.0,1.0,3.0,120.0,54.0,0.0416400432586669,5.8650970458984375e-05,60.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NormalMaybe
443,2,0,0x0010,0x0011,0.021220339,5.0834e-05,254.0,501.0,0.1879127668577266,0.1886471223852605,0.0,723,0.0,446.0,2.6471312205,0.0086378399999999,23.423918447073238,0.000147473344088,4.527242940376524,0.0121438603453791,111890.25,76832.0,42.42130711813178,47.16178059631513,TCP,669.0,392.0,4.0,2.0,6.0,903.0,500.0,21.2864727973938,10.601804971694946,225.75,0.0,0.0,250.0,277.18585822512665,76832.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,NormalMaybe
11107,1,0,0x0004,0x0014,0.03815179,6.987e-05,1200.0,0.0,52.326436408775336,14315.03071672355,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3139.58618452652,773011.6587030716,TCP,0.0,0.0,2.0,1.0,3.0,120.0,54.0,0.0382215976715087,6.985664367675781e-05,60.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NormalMaybe
44070,2,0,0x0004,0x0014,0.039371159,0.000161421,1200.0,0.0,50.59107905338576,6195.426883308715,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3035.4647432031456,334553.0516986706,TCP,0.0,0.0,2.0,1.0,3.0,120.0,54.0,0.0395326614379882,0.0001614093780517,60.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NormalMaybe
39194,1,0,0x0002,0x0014,0.0,0.000185976,1024.0,0.0,0.0,5377.3128205128205,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290374.8923076923,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,0.0001859664916992,0.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NormalMaybe
443,2,0,0x0010,0x0011,0.020793583,0.000458234,258.0,501.0,94.11021360617484,2182.260145681582,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5646.61281637049,117842.0478668054,TCP,0.0,0.0,2.0,1.0,3.0,120.0,54.0,0.0212516784667968,0.0004582405090332,60.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,NormalMaybe
443,2,0,0x0010,0x0011,0.022016524,0.000243563,257.0,501.0,89.84649658333869,4104.015655577299,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5390.789795000322,221616.84540117416,TCP,0.0,0.0,2.0,1.0,3.0,120.0,54.0,0.0222601890563964,0.0002436637878417,60.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,NormalMaybe
443,2,0,0x0010,0x0011,0.022187851,9.2082e-05,511.0,501.0,89.76669627283331,10866.072538860104,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5386.001776369999,586767.9170984456,TCP,0.0,0.0,2.0,1.0,3.0,120.0,54.0,0.0222799777984619,9.202957153320312e-05,60.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,NormalMaybe
23,1,0,0x0002,0x0014,0.0,3.9775e-05,51357.0,0.0,0.0,25266.89156626506,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1364412.1445783132,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,3.9577484130859375e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NormalMaybe
6382,1,0,0x0002,0x0014,0.0,6.411e-05,1024.0,0.0,0.0,15592.20817843866,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841979.2416356878,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,6.413459777832031e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NormalMaybe
443,1,0,0x0011,0x0010,0.738608461,4.7669e-05,50176.0,64128.0,1.34748050332106,1.606492588875997,0.0,571,0.0,2974.0,0.1355475769333333,0.0002045333333333,0.0414810688313835,8.61229006602381e-08,0.200245765341003,0.0002934670350486,28256.980952380956,607598.1428571428,176.51994593505884,745.0912627206875,TCP,1037.0,6135.0,15.0,15.0,30.0,1965.0,6957.0,11.13188648223877,9.337111234664915,131.0,169.9120166633114,28870.093406593405,463.8,779.0421041253162,606906.6,5.7220458984375e-05,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,NormalMaybe
