flowID,srcIP,dstPort,Unique Ports,Auth Failures,Origin,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,bwd meanDelta,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,Label
45.141.122.11 67 255.255.255.255 68 UDP,45.141.122.11,68,1,0.0,Nowhere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP,13120.0,0.0,41.0,0.0,41.0,14842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
149.102.157.168 40942 108.177.15.109 587 TCP,149.102.157.168,587,1,0.0,Nowhere,0x0011,0x0010,0.000412129,0.011546881,64128,67840,5.010551767240767,3.5053672067672643,0.0,583,0.0,2866.0,0.0041278643529411765,0.00019961737244361566,0.006579554280840043,0.013919277037766636,0.081114451738516,20588.235294117647,421031.80632411066,729.4773896424058,1135.129345913156,0.028273204695652174,TCP,1345.0,5922.0,17.0,23.0,40.0,2475.0,7448.0,3.3928399085998535,6.56136679649353,145.58823529411765,146.68809029138436,21517.395833333332,323.82608695652175,648.7274712973162,420847.3320158103,0.01192784309387207,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
149.102.157.168 33320 104.26.4.15 80 TCP,149.102.157.168,80,1,0.0,Nowhere,0x0010,0x0011,4.5674e-05,0.004030647,64128,65536,35.14608786004831,32.18509770699718,0.0,236,0.0,958.0,0.00019568885714285714,1.5366993786167035e-07,0.00025165189293144274,0.0003777479499993268,0.015863539735236985,4128.571428571428,158691.8,3213.3566043472742,7949.719133628304,0.0099984922,TCP,170.0,897.0,7.0,5.0,12.0,640.0,1235.0,0.19916868209838867,0.1553514003753662,91.42857142857143,69.40220937885671,4816.666666666667,247.0,397.4757854259804,157987.0,0.004026174545288086,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
91.148.190.146 41487 149.102.157.168 44922 TCP,91.148.190.146,44922,1,0.0,Nowhere,0x0004,0x0014,0.038876562,9.0509e-05,1200,0,51.32561995606924,11066.765171503957,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3079.537197364154,597605.3192612138,0.0,TCP,0.0,0.0,2.0,1.0,3.0,120.0,54.0,0.03896689414978027,9.036064147949219e-05,60.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Port Scan
159.89.159.17 49383 149.102.157.168 22 TCP,159.89.159.17,22,1,0.0,Nowhere,0x0002,0x0014,0.0,0.000132086,65535,0,0.0,7570.9458483754515,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408831.07581227436,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,0.00013208389282226562,0.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Port Scan
79.124.40.70 41488 149.102.157.168 56326 TCP,79.124.40.70,56326,1,0.0,Nowhere,0x0004,0x0014,0.038427494,8.7052e-05,1200,0,51.92834061730076,11491.243835616438,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3115.700437038046,620527.1671232877,0.0,TCP,0.0,0.0,2.0,1.0,3.0,120.0,54.0,0.03851461410522461,8.702278137207031e-05,60.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Port Scan
149.102.157.168 42018 108.177.15.109 587 TCP,149.102.157.168,587,1,0.0,Nowhere,0x0011,0x0010,0.000138929,0.011668247,64128,67840,5.1743213830687615,3.6023111492825737,0.0,583,0.0,2866.0,0.003775479235294118,0.00012613586163033838,0.00629557939653165,0.011064627573808942,0.07934468726091023,20551.433823529413,421205.31620553357,753.0159471595363,1164.6428567854443,0.027841758260869563,TCP,1344.0,5910.0,17.0,23.0,40.0,2474.0,7436.0,3.2854549884796143,6.384789943695068,145.52941176470588,146.55647375670583,21478.8,323.30434782608694,648.8614808600319,421021.22134387353,0.012728452682495117,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
45.141.122.11 67 255.255.255.255 68 UDP,45.141.122.11,68,1,0.0,Nowhere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP,13120.0,0.0,41.0,0.0,41.0,14842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
149.102.157.168 58626 172.67.75.166 80 TCP,149.102.157.168,80,1,0.0,Nowhere,0x0010,0x0011,6.98e-05,0.004045795,64128,65536,41.38761816423595,37.63138628500883,0.0,236,0.0,972.0,0.0002910452857142857,3.0805109015683513e-07,0.0001471356035907868,0.0005348340311348169,0.012129946561744894,4128.571428571428,163719.2,3784.0108035872872,9400.320293995206,0.0084074876,TCP,170.0,911.0,7.0,5.0,12.0,640.0,1249.0,0.16913270950317383,0.13286781311035156,91.42857142857143,69.40220937885671,4816.666666666667,249.8,403.7365477635137,163003.2,0.004027366638183594,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
149.102.157.168 58632 172.67.75.166 80 TCP,149.102.157.168,80,1,0.0,Nowhere,0x0010,0x0011,7.7314e-05,0.006565853,64128,65536,27.924262426052387,25.59696910888237,0.0,235,0.0,969.0,0.00024684314285714284,1.6305384004013187e-07,0.000409256387193304,0.0003891107004184316,0.020230086188479376,4080.1428571428573,162635.3,2549.086241463925,6378.764701933487,0.012839824,TCP,169.0,908.0,7.0,5.0,12.0,639.0,1246.0,0.25067806243896484,0.19533562660217285,91.28571428571429,68.99396108839285,4760.166666666667,249.2,402.3949552367674,161921.7,0.0044498443603515625,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
