dstPort,Unique Ports,Auth Failures,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,bwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,Label
445,1,0,0x0002,0x0014,0,0.000152784,8192,0,0,6553.6,0,62,0,54,0,0,0,0,0,0,0,0,0,353894.4,TCP,0,0,1,1,2,62,54,0,0.000152587890625,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Normal
37215,1,0,0x0002,0x0014,0,0.000176948,22862,0,0,5645.09286675639,0,60,0,54,0,0,0,0,0,0,0,0,0,304835.014804845,TCP,0,0,1,1,2,60,54,0,0.0001771450042724,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Normal
32753,1,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,UDP,40,0,1,0,1,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
5443,1,0,0x0004,0x0014,0.042209215,0.00007495,1200,0,47.2989348925589,13357.6560509554,0,60,0,54,0,0,0,0,0,0,0,0,2837.93609355353,721313.426751592,TCP,0,0,2,1,3,120,54,0.0422842502593994,7.48634338378906E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Normal
6379,1,0,0x0002,0x0014,0,0.000064511,29200,0,0,15477.1365313653,0,74,0,54,0,0,0,0,0,0,0,0,0,835765.372693727,TCP,0,0,1,1,2,74,54,0,6.46114349365234E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Normal
12735,1,0,0x0004,0x0014,0.05065041,0.000142506,1200,0,0.209487105202678,0.210300606789099,0,60,0,54,1.592711529,9.65566666666667E-05,5.34365403751876,1.89389984933333E-09,2.21322152853983,4.35189596536192E-05,0,0,12.5692263121607,11.3562327666113,TCP,0,0,6,3,9,360,162,28.6413810253143,14.2652940750122,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Normal
9002,1,0,0x0002,0x0014,0,0.000081562,65535,0,0,12264.0467836257,0,60,0,54,0,0,0,0,0,0,0,0,0,662258.526315789,TCP,0,0,1,1,2,60,54,0,8.15391540527344E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Normal
12735,1,0,0x0004,0x0014,0.039099208,0.000047028,1200,0,51.0902358214773,21183.3535353535,0,60,0,54,0,0,0,0,0,0,0,0,3065.41414928864,1143901.09090909,TCP,0,0,2,1,3,120,54,0.0391464233398437,4.72068786621094E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Normal
11464,3,0,0x0004,0x0014,0.045999481,0.000085789,1200,0,0.139892064618279,0.140261915795261,0,60,0,54,1.791239711,0.00006209775,5.51399663980188,2.9350116825E-10,2.27362526591658,1.71318757948451E-05,0,0,8.39352387709672,7.57414345294407,TCP,0,0,8,4,12,480,216,57.1869463920593,28.5180761814117,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Normal
22,1,0,0x0002,0x0014,0,0.000059159,14600,0,0,16912.5161290323,0,74,0,54,0,0,0,0,0,0,0,0,0,913275.870967742,TCP,0,0,1,1,2,74,54,0,5.91278076171875E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Normal
14811,3,0,0x0004,0x0014,0.05219706,0.000066474,1200,0,0.139571499217902,0.139933442683026,0,60,0,54,1.79537836025,0.00006859775,5.54282301500078,4.94305757583333E-10,2.27956061041667,2.22329880489181E-05,0,0,8.37428995307411,7.55640590488338,TCP,0,0,8,4,12,480,216,57.3182923793793,28.585018157959,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Normal
22,1,0,0x0002,0x0014,0,0.000172882,14600,0,0,5785.24689655172,0,74,0,54,0,0,0,0,0,0,0,0,0,312403.332413793,TCP,0,0,1,1,2,74,54,0,0.0001728534698486,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Normal
22,1,0,0x0002,0x0014,0,0.000052848,14600,0,0,18978.7511312217,0,74,0,54,0,0,0,0,0,0,0,0,0,1024852.56108597,TCP,0,0,1,1,2,74,54,0,5.26905059814453E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Normal
53,1,0,0,0,0,0,0,0,0,0,0,86,0,102,0,0,0,0,0,0,0,0,0,0,UDP,44,60,1,1,2,86,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
53,1,0,0,0,0,0,0,0,0,0,0,86,0,114,0,0,0,0,0,0,0,0,0,0,UDP,44,72,1,1,2,86,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
443,1,0,0,0,0,0,0,0,0,0,0,1399,0,1399,0,0,0,0,0,0,0,0,0,0,UDP,2592,2635,4,7,11,2760,2929,0,0,0,0,0,0,482.170736407363,232488.619047619,0,0,0,0,0,0,0,0,0,Normal
4660,1,0,0x0004,0x0014,0.014012327,0.000114013,1200,0,141.57988185654,8774.69456066946,0,60,0,54,0,0,0,0,0,0,0,0,8494.79291139241,473833.506276151,TCP,0,0,2,1,3,120,54,0.0141263008117675,0.0001139640808105,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Normal
11464,2,0,0x0004,0x0014,0.045999481,0.000085789,1200,0,0.139892064618279,0.140261915795261,0,60,0,54,1.791239711,0.00006209775,5.51399663980188,2.9350116825E-10,2.27362526591658,1.71318757948451E-05,0,0,8.39352387709672,7.57414345294407,TCP,0,0,8,4,12,480,216,57.1869463920593,28.5180761814117,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Normal
22,1,0,0x0002,0x0014,0,0.000059159,14600,0,0,16912.5161290323,0,74,0,54,0,0,0,0,0,0,0,0,0,913275.870967742,TCP,0,0,1,1,2,74,54,0,5.91278076171875E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Normal
