dstPort,Unique Ports,Auth Failures,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,bwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,Label
80,1,0,0x0010,0x0004,0,0.000108543,1024,0,0,9218.25054945055,0,60,0,54,0,0,0,0,0,0,0,0,0,497785.52967033,TCP,0,0,1,1,2,60,54,0,0.0001084804534912,0,0,0,54,0,0,0,0,1,0,0,0,0,0,0,Portscan
443,2,0,0x0002,0x0012,0,2.019842703,64240,65160,0,0.746143514590016,0,74,0,74,0,1.006735666,0,1.01986845306238,0,1.00988536629777,0,0,0,55.2146200796611,TCP,0,0,1,3,4,74,222,0,4.02067422866821,0,0,0,74,0,0,0.0001029968261718,1,0,0,0,0,0,0,0,Portscan
21,3,0,0x0002,0x0014,0,0.000125914,64240,0,0,7943.75757575758,0,74,0,54,0,0,0,0,0,0,0,0,0,428962.909090909,TCP,0,0,1,1,2,74,54,0,0.0001258850097656,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
1723,4,0,0x0002,0x0014,0,0.000006041,64240,0,0,167772.16,0,74,0,54,0,0,0,0,0,0,0,0,0,9059696.64,TCP,0,0,1,1,2,74,54,0,5.96046447753906E-06,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
1025,5,0,0x0002,0x0014,0,0.000013374,64240,0,0,74898.2857142857,0,74,0,54,0,0,0,0,0,0,0,0,0,4044507.42857143,TCP,0,0,1,1,2,74,54,0,1.33514404296875E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
1720,6,0,0x0002,0x0014,0,0.000023072,64240,0,0,43240.2474226804,0,74,0,54,0,0,0,0,0,0,0,0,0,2334973.36082474,TCP,0,0,1,1,2,74,54,0,2.31266021728516E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
993,7,0,0x0002,0x0014,0,0.000102211,64240,0,0,9776.9324009324,0,74,0,54,0,0,0,0,0,0,0,0,0,527954.34965035,TCP,0,0,1,1,2,74,54,0,0.0001022815704345,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
8080,8,0,0x0002,0x0014,0,0.000065101,64240,0,0,15363.7509157509,0,74,0,54,0,0,0,0,0,0,0,0,0,829642.549450549,TCP,0,0,1,1,2,74,54,0,6.50882720947266E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
113,9,0,0x0002,0x0014,0,0.000058669,64240,0,0,17050.0162601626,0,74,0,54,0,0,0,0,0,0,0,0,0,920700.87804878,TCP,0,0,1,1,2,74,54,0,5.86509704589844E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
587,10,0,0x0002,0x0014,0,0.000022753,64240,0,0,44150.5684210526,0,74,0,54,0,0,0,0,0,0,0,0,0,2384130.69473684,TCP,0,0,1,1,2,74,54,0,2.26497650146484E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
53,11,0,0x0002,0x0014,0,0.000051535,64240,0,0,19328.5898617512,0,74,0,54,0,0,0,0,0,0,0,0,0,1043743.85253456,TCP,0,0,1,1,2,74,54,0,5.17368316650391E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
22,12,0,0x0002,0x0014,0,0.000015659,64240,0,0,63550.0606060606,0,74,0,54,0,0,0,0,0,0,0,0,0,3431703.27272727,TCP,0,0,1,1,2,74,54,0,1.57356262207031E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
554,13,0,0x0002,0x0014,0,0.000007835,64240,0,0,127100.121212121,0,74,0,54,0,0,0,0,0,0,0,0,0,6863406.54545455,TCP,0,0,1,1,2,74,54,0,7.86781311035156E-06,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
995,14,0,0x0002,0x0014,0,0.000070602,64240,0,0,14169.9459459459,0,74,0,54,0,0,0,0,0,0,0,0,0,765177.081081081,TCP,0,0,1,1,2,74,54,0,7.05718994140625E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
41173,15,0,0x0002,0x0014,0,0.000067536,64240,0,0,14820.8621908127,0,74,0,54,0,0,0,0,0,0,0,0,0,800326.558303887,TCP,0,0,1,1,2,74,54,0,6.74724578857422E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
80,15,0,0x0002,0x0012,0,1.02649043,64240,65160,0,1.94796921279928,0,74,0,74,0,0.5133001625,0,0.526728501313443,0,0.725760636376377,0,0,0,144.149721747147,TCP,0,0,1,2,3,74,148,0,1.02671027183533,0,0,0,74,0,0,0.0001099109649658,1,0,0,0,0,0,0,0,Portscan
46506,16,0,0x0002,0x0014,0,0.000013405,64240,0,0,74898.2857142857,0,74,0,54,0,0,0,0,0,0,0,0,0,4044507.42857143,TCP,0,0,1,1,2,74,54,0,1.33514404296875E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
773,17,0,0x0002,0x0014,0,0.000022282,64240,0,0,44620.2553191489,0,74,0,54,0,0,0,0,0,0,0,0,0,2409493.78723404,TCP,0,0,1,1,2,74,54,0,2.24113464355469E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
15073,18,0,0x0002,0x0014,0,0.000015419,64240,0,0,64527.7538461539,0,74,0,54,0,0,0,0,0,0,0,0,0,3484498.70769231,TCP,0,0,1,1,2,74,54,0,1.54972076416016E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
