flowID,dstPort,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,bwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,Label
139.162.192.40 57615 149.102.157.168 443 TCP,443,0x0004,0x0012,0.004473348,0.000079248,0,64240,439.309138517937,12633.4457831325,0,60,0,58,0,0,0,0,0,0,0,0,26358.5483110762,732739.855421687,TCP,0,0,2,1,3,120,58,0.00455260276794434,7.91549682617187E-05,60,0,0,58,0,0,7.91549682617187E-05,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 135 TCP,135,0x0002,0x0014,0,0.000099596,1024,0,0,10058.2829736211,0,60,0,54,0,0,0,0,0,0,0,0,0,543147.28057554,TCP,0,0,1,1,2,60,54,0,9.94205474853516E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 139 TCP,139,0x0002,0x0014,0,0.000106218,1024,0,0,9425.40224719101,0,60,0,54,0,0,0,0,0,0,0,0,0,508971.721348315,TCP,0,0,1,1,2,60,54,0,0.000106096267700195,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 113 TCP,113,0x0002,0x0014,0,0.00000553,1024,0,0,182361.043478261,0,60,0,54,0,0,0,0,0,0,0,0,0,9847496.34782609,TCP,0,0,1,1,2,60,54,0,5.48362731933594E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 110 TCP,110,0x0002,0x0014,0,0.000008857,1024,0,0,110376.421052632,0,60,0,54,0,0,0,0,0,0,0,0,0,5960326.73684211,TCP,0,0,1,1,2,60,54,0,9.05990600585938E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 3389 TCP,3389,0x0002,0x0014,0,0.00001143,1024,0,0,87381.3333333333,0,60,0,54,0,0,0,0,0,0,0,0,0,4718592,TCP,0,0,1,1,2,60,54,0,1.1444091796875E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 25 TCP,25,0x0002,0x0014,0,0.000028002,1024,0,0,35848.7521367521,0,60,0,54,0,0,0,0,0,0,0,0,0,1935832.61538462,TCP,0,0,1,1,2,60,54,0,2.78949737548828E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 445 TCP,445,0x0002,0x0014,0,0.000038492,1024,0,0,26051.5776397516,0,60,0,54,0,0,0,0,0,0,0,0,0,1406785.19254658,TCP,0,0,1,1,2,60,54,0,3.83853912353516E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 22 TCP,22,0x0002,0x0014,0,0.000050484,1024,0,0,19784.4528301887,0,60,0,54,0,0,0,0,0,0,0,0,0,1068360.45283019,TCP,0,0,1,1,2,60,54,0,5.05447387695313E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 587 TCP,587,0x0002,0x0014,0,0.000004538,1024,0,0,220752.842105263,0,60,0,54,0,0,0,0,0,0,0,0,0,11920653.4736842,TCP,0,0,1,1,2,60,54,0,4.52995300292969E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
